Name,PPG,AST,BLK,TO,STL,REB,OREB,DREB,GP,GS,MPG,FGA,FG,FG%,3PA,3P,3P%,FTA,FT,FT%,2PA,2P,2P%,EFG%,Salary
Tyreke Evans,16.5,5.1,0.4,2.6,1.3,4.8,0.9,3.9,525,408,32.1,13.9,6.2,0.445,2.5,0.8,0.318,4.3,3.3,0.759,11.4,5.4,0.473,0.473,12000000
Kemba Walker,18.9,5.4,0.4,2.1,1.3,3.7,0.6,3.2,523,478,33.9,15.8,6.6,0.415,5.5,2,0.358,4.6,3.9,0.834,10.4,4.6,0.445,0.477,12000000
T.J. Warren,13.7,1.1,0.5,0.9,0.9,4.1,1.6,2.6,218,129,26.9,11.6,5.8,0.5,1.3,0.4,0.283,2.3,1.7,0.754,10.3,5.4,0.527,0.516,11750000
Zach Randolph,16.6,1.8,0.3,2.1,0.7,9.1,2.9,6.2,1116,882,31,14.1,6.7,0.471,0.7,0.2,0.273,4.1,3.1,0.764,13.5,6.5,0.481,0.478,11692308
Marcus Smart,9.4,3.9,0.4,1.8,1.5,3.7,1,2.7,261,83,28.7,8.7,3.1,0.36,4.2,1.2,0.293,2.6,2,0.756,4.5,1.9,0.422,0.431,11660716
Patty Mills,8.2,2.3,0.1,1,0.6,1.6,0.3,1.3,523,54,18.3,7,3,0.432,3.7,1.4,0.39,0.9,0.8,0.848,3.3,1.6,0.477,0.534,11571429
Dion Waiters,13.3,2.8,0.3,1.9,1,2.7,0.4,2.2,365,183,28.7,12.4,5.1,0.412,3.6,1.2,0.341,2.7,1.9,0.701,8.8,3.9,0.441,0.462,11550000
Alec Burks,9.7,1.6,0.1,1.3,0.6,2.9,0.6,2.3,365,43,21,7.9,3.4,0.426,1.8,0.6,0.353,3.1,2.3,0.765,6.1,2.7,0.447,0.466,11536515
Omer Asik,5.3,0.6,0.7,1.2,0.4,7.1,2.2,4.9,471,262,19.6,3.8,2,0.528,0,0,0,2.3,1.2,0.551,3.8,2,0.528,0.528,11286516
Kelly Olynyk,9.9,1.9,0.5,1.5,0.7,4.9,1.3,3.6,354,58,21.3,7.7,3.7,0.481,2.7,1,0.371,1.9,1.4,0.75,5,2.7,0.542,0.547,11137527
Iman Shumpert,7.3,1.9,0.2,1.2,1.2,3.4,0.7,2.7,384,205,25.4,6.8,2.7,0.396,3,1,0.338,1.2,0.9,0.763,3.8,1.7,0.441,0.47,11011234
Maurice Harkless,7.3,0.9,0.6,0.9,1,3.6,1.2,2.4,415,223,23,6.1,2.9,0.474,1.9,0.6,0.33,1.5,0.9,0.607,4.2,2.3,0.538,0.525,10837079
Tony Snell,6.3,1.1,0.2,0.6,0.5,2.4,0.3,2.1,368,206,22.6,5.5,2.3,0.42,3.1,1.2,0.38,0.6,0.5,0.809,2.3,1.1,0.474,0.529,10607143
Meyers Leonard,5.5,0.8,0.3,0.7,0.2,3.7,0.7,3,332,40,15.7,4.5,2.1,0.468,1.8,0.7,0.373,0.7,0.6,0.824,2.7,1.5,0.53,0.542,10595506
John Henson,7.9,1.1,1.5,1.1,0.5,5.5,1.9,3.6,391,152,20.4,6.2,3.4,0.541,0,0,0.077,2,1.2,0.572,6.2,3.4,0.544,0.542,10577466
Terrence Ross,9.6,1,0.3,0.8,0.8,2.6,0.4,2.3,411,176,23.8,8.6,3.6,0.421,4.4,1.6,0.371,0.9,0.7,0.798,4.2,2,0.475,0.517,10500000
Bojan Bogdanovic,12.1,1.2,0.1,1.4,0.5,3.2,0.5,2.7,318,201,26.8,9.5,4.3,0.452,4.3,1.6,0.378,2.2,1.9,0.863,5.2,2.7,0.513,0.538,10500000
Robert Covington,12.7,1.6,0.7,1.8,1.6,5.5,1,4.6,291,245,29.4,10.5,4.2,0.399,6.5,2.3,0.358,2.4,2,0.82,3.9,1.8,0.466,0.51,10464092
Rudy Gay,17.9,2.2,0.8,2.3,1.3,5.9,1.5,4.4,810,721,34.6,15,6.8,0.453,3,1,0.343,4.2,3.3,0.795,12,5.8,0.48,0.487,10087200
Jon Leuer,6.7,0.9,0.3,0.7,0.4,4,1,3,336,79,16.5,5.7,2.7,0.478,1.1,0.4,0.335,1.1,0.9,0.769,4.6,2.3,0.512,0.51,10002681
Andre Roberson,4.6,0.9,0.7,0.6,0.9,4,1.2,2.8,295,269,22.5,4,1.9,0.482,1.4,0.4,0.257,0.9,0.4,0.467,2.5,1.5,0.609,0.528,10000000
Danny Green,8.8,1.6,0.8,1,1,3.4,0.6,2.9,540,464,25.1,7.5,3.1,0.418,4.5,1.8,0.395,1,0.8,0.815,2.9,1.3,0.454,0.538,10000000
Darren Collison,12.7,4.9,0.2,2,1.1,2.6,0.5,2.1,632,442,29.5,9.9,4.7,0.472,2.2,0.9,0.393,2.8,2.4,0.855,7.7,3.8,0.495,0.516,10000000
Dwight Powell,6.6,0.8,0.4,0.6,0.7,4.2,1.3,2.9,254,30,16.7,4.6,2.5,0.535,0.7,0.2,0.292,2,1.5,0.739,3.9,2.3,0.581,0.558,9631250
Matthew Dellavedova,6,3.7,0,1.3,0.5,1.9,0.4,1.5,329,88,21.9,5.5,2.1,0.391,2.6,1,0.388,0.8,0.7,0.84,2.9,1.1,0.393,0.483,9607500
Dante Exum,5.7,2.2,0.2,1.3,0.4,1.8,0.4,1.4,162,67,20.2,5.3,2.1,0.395,2.7,0.8,0.306,0.8,0.6,0.757,2.7,1.3,0.483,0.471,9600000
Jared Dudley,8,1.6,0.2,0.9,0.8,3.3,1,2.4,788,260,23.4,6.2,2.9,0.467,2.6,1,0.396,1.6,1.1,0.733,3.6,1.9,0.518,0.549,9530000
Norman Powell,6.6,1.1,0.2,0.9,0.6,2,0.3,1.8,195,60,16.2,5.7,2.4,0.427,2.3,0.7,0.324,1.3,1,0.801,3.4,1.7,0.498,0.493,9367200
Josh Richardson,10.3,2.4,0.7,1.3,1.2,3,0.7,2.3,186,117,29.1,9,3.9,0.434,3.6,1.4,0.376,1.5,1.2,0.787,5.3,2.5,0.473,0.51,9300000
Fred VanVleet,6.8,2.5,0.2,0.8,0.7,2,0.3,1.7,113,0,16.1,5.8,2.4,0.413,2.6,1.1,0.41,1.1,0.9,0.829,3.2,1.3,0.415,0.504,9000000
Bogdan Bogdanovic,11.8,3.3,0.2,1.6,0.9,2.9,0.4,2.5,78,53,27.9,9.9,4.4,0.446,4.2,1.7,0.392,1.5,1.3,0.84,5.7,2.8,0.485,0.529,9000000
Rajon Rondo,10.5,8.5,0.1,2.9,1.7,4.8,1.1,3.8,779,697,31.8,9.5,4.4,0.463,1.2,0.4,0.309,2.2,1.3,0.604,8.2,4,0.486,0.483,9000000
E'Twaun Moore,7.6,1.8,0.2,0.9,0.7,2,0.4,1.5,462,148,21,6.8,3.1,0.455,2.3,0.9,0.385,0.7,0.5,0.74,4.5,2.2,0.489,0.519,8808685
Kosta Koufos,5.8,0.5,0.8,0.7,0.4,5.1,1.8,3.3,644,228,16.7,4.9,2.6,0.537,0,0,0,1.1,0.6,0.587,4.8,2.6,0.538,0.537,8739500
Jerami Grant,7.5,1,1.2,1,0.5,3.6,0.9,2.7,303,68,21.9,5.7,2.5,0.444,1.7,0.5,0.301,3,1.9,0.641,4,2,0.507,0.49,8653847
Kyle Anderson,4.9,1.7,0.5,0.8,0.9,3.6,0.6,3,257,100,17.9,4,1.9,0.478,0.6,0.2,0.338,1.2,0.9,0.733,3.4,1.7,0.501,0.502,8641000
